0;1;88
0;2;29
2;3;28
1;4;22
4;5;50
1;6;85
0;7;56
1;8;94
2;9;11
5;8;27
0;6;17
0;8;82
0;1;28
1;6;49
0;2;90
4;9;21
6;7;92
5;8;87
6;7;77
4;8;57
2;4;98
3;7;61
2;9;52
2;9;53
4;5;12
7;8;43
2;5;62
1;9;63
3;4;81
6;7;3
0;2;21
1;3;49
0;3;66
6;8;88
0;9;83
1;4;13
3;8;58
3;5;27
0;8;47
4;5;9
2;8;23
0;2;52
3;6;89
1;5;42
5;7;68
1;6;54
1;7;39
5;9;48
2;9;58
0;5;23
1;3;57
1;7;65
0;4;58
4;6;35
0;8;25
5;7;49
1;5;66
0;9;49
5;8;60
1;2;62
3;8;15
0;4;40
1;4;78
4;6;2
0;5;77
2;7;66
4;7;46
5;9;58
2;3;66
6;9;71
0;7;15
1;3;53
3;8;52
1;7;75
8;9;70
3;8;92
0;7;78
3;8;76
1;9;96
5;6;37
5;8;54
5;6;98
5;9;40
5;7;89
1;9;45
1;8;43
1;2;10
0;9;62
3;4;11
0;3;49
4;7;29
4;8;99
1;2;57
1;2;1
4;8;4
3;9;28
3;5;8
2;6;75
0;3;49
1;5;68
